plate_index,row,column,x_pos,y_pos,z_pos
0.0,0.0,0.0,-50.375,-212.035,-90.0
1.0,0.0,1.0,-203.575,-212.035,-90.0
2.0,0.0,2.0,-356.775,-212.035,-90.0
3.0,0.0,3.0,-509.97499999999997,-212.035,-90.0
4.0,0.0,4.0,-663.175,-212.035,-90.0
5.0,0.0,5.0,-816.375,-212.035,-90.0
6.0,0.0,6.0,-969.5749999999999,-212.035,-90.0
7.0,0.0,7.0,-1122.7749999999999,-212.035,-90.0
8.0,1.0,0.0,-50.375,-327.03499999999997,-90.0
9.0,1.0,1.0,-203.575,-327.03499999999997,-90.0
10.0,1.0,2.0,-356.775,-327.03499999999997,-90.0
11.0,1.0,3.0,-509.97499999999997,-327.03499999999997,-90.0
12.0,1.0,4.0,-663.175,-327.03499999999997,-90.0
13.0,1.0,5.0,-816.375,-327.03499999999997,-90.0
14.0,1.0,6.0,-969.5749999999999,-327.03499999999997,-90.0
15.0,1.0,7.0,-1122.7749999999999,-327.03499999999997,-90.0
16.0,2.0,0.0,-50.375,-442.03499999999997,-90.0
17.0,2.0,1.0,-203.575,-442.03499999999997,-90.0
18.0,2.0,2.0,-356.775,-442.03499999999997,-90.0
19.0,2.0,3.0,-509.97499999999997,-442.03499999999997,-90.0
20.0,2.0,4.0,-663.175,-442.03499999999997,-90.0
21.0,2.0,5.0,-816.375,-442.03499999999997,-90.0
22.0,2.0,6.0,-969.5749999999999,-442.03499999999997,-90.0
23.0,2.0,7.0,-1122.7749999999999,-442.03499999999997,-90.0
24.0,3.0,0.0,-50.375,-557.035,-90.0
25.0,3.0,1.0,-203.575,-557.035,-90.0
26.0,3.0,2.0,-356.775,-557.035,-90.0
27.0,3.0,3.0,-509.97499999999997,-557.035,-90.0
28.0,3.0,4.0,-663.175,-557.035,-90.0
29.0,3.0,5.0,-816.375,-557.035,-90.0
30.0,3.0,6.0,-969.5749999999999,-557.035,-90.0
31.0,3.0,7.0,-1122.7749999999999,-557.035,-90.0
32.0,4.0,0.0,-50.375,-672.035,-90.0
33.0,4.0,1.0,-203.575,-672.035,-90.0
34.0,4.0,2.0,-356.775,-672.035,-90.0
35.0,4.0,3.0,-509.97499999999997,-672.035,-90.0
36.0,4.0,4.0,-663.175,-672.035,-90.0
37.0,4.0,5.0,-816.375,-672.035,-90.0
38.0,4.0,6.0,-969.5749999999999,-672.035,-90.0
39.0,4.0,7.0,-1122.7749999999999,-672.035,-90.0
40.0,5.0,0.0,-50.375,-787.035,-90.0
41.0,5.0,1.0,-203.575,-787.035,-90.0
42.0,5.0,2.0,-356.775,-787.035,-90.0
43.0,5.0,3.0,-509.97499999999997,-787.035,-90.0
44.0,5.0,4.0,-663.175,-787.035,-90.0
45.0,5.0,5.0,-816.375,-787.035,-90.0
46.0,5.0,6.0,-969.5749999999999,-787.035,-90.0
47.0,5.0,7.0,-1122.7749999999999,-787.035,-90.0
48.0,6.0,0.0,-50.375,-902.035,-90.0
49.0,6.0,1.0,-203.575,-902.035,-90.0
50.0,6.0,2.0,-356.775,-902.035,-90.0
51.0,6.0,3.0,-509.97499999999997,-902.035,-90.0
52.0,6.0,4.0,-663.175,-902.035,-90.0
53.0,6.0,5.0,-816.375,-902.035,-90.0
54.0,6.0,6.0,-969.5749999999999,-902.035,-90.0
55.0,6.0,7.0,-1122.7749999999999,-902.035,-90.0
56.0,7.0,0.0,-50.375,-1017.035,-90.0
57.0,7.0,1.0,-203.575,-1017.035,-90.0
58.0,7.0,2.0,-356.775,-1017.035,-90.0
59.0,7.0,3.0,-509.97499999999997,-1017.035,-90.0
60.0,7.0,4.0,-663.175,-1017.035,-90.0
61.0,7.0,5.0,-816.375,-1017.035,-90.0
62.0,7.0,6.0,-969.5749999999999,-1017.035,-90.0
63.0,7.0,7.0,-1122.7749999999999,-1017.035,-90.0
64.0,8.0,0.0,-50.375,-1132.035,-90.0
65.0,8.0,1.0,-203.575,-1132.035,-90.0
66.0,8.0,2.0,-356.775,-1132.035,-90.0
67.0,8.0,3.0,-509.97499999999997,-1132.035,-90.0
68.0,8.0,4.0,-663.175,-1132.035,-90.0
69.0,8.0,5.0,-816.375,-1132.035,-90.0
70.0,8.0,6.0,-969.5749999999999,-1132.035,-90.0
71.0,8.0,7.0,-1122.7749999999999,-1132.035,-90.0
