plate_index	row	column	x_pos	y_pos	z_pos
0	0	0	-31.00	-29.00	-24.00	
1	0	1	-184.20	-29.00	-24.00	
2	0	2	-337.40	-29.00	-24.00	
3	0	3	-490.60	-29.00	-24.00	
4	0	4	-643.80	-29.00	-24.00	
5	0	5	-797.00	-29.00	-24.00	
6	0	6	-950.20	-29.00	-24.00	
7	0	7	-1103.40	-29.00	-24.00	
8	0	8	-1256.60	-29.00	-24.00	
9	1	0	-31.00	-145.00	-24.00	
10	1	1	-184.20	-145.00	-24.00	
11	1	2	-337.40	-145.00	-24.00	
12	1	3	-490.60	-145.00	-24.00	
13	1	4	-643.80	-145.00	-24.00	
14	1	5	-797.00	-145.00	-24.00	
15	1	6	-950.20	-145.00	-24.00	
16	1	7	-1103.40	-145.00	-24.00	
17	1	8	-1256.60	-145.00	-24.00	
18	2	0	-31.00	-261.00	-24.00	
19	2	1	-184.20	-261.00	-24.00	
20	2	2	-337.40	-261.00	-24.00	
21	2	3	-490.60	-261.00	-24.00	
22	2	4	-643.80	-261.00	-24.00	
23	2	5	-797.00	-261.00	-24.00	
24	2	6	-950.20	-261.00	-24.00	
25	2	7	-1103.40	-261.00	-24.00	
26	2	8	-1256.60	-261.00	-24.00	
27	3	0	-31.00	-377.00	-24.00	
28	3	1	-184.20	-377.00	-24.00	
29	3	2	-337.40	-377.00	-24.00	
30	3	3	-490.60	-377.00	-24.00	
31	3	4	-643.80	-377.00	-24.00	
32	3	5	-797.00	-377.00	-24.00	
33	3	6	-950.20	-377.00	-24.00	
34	3	7	-1103.40	-377.00	-24.00	
35	3	8	-1256.60	-377.00	-24.00	
36	4	0	-31.00	-493.00	-24.00	
37	4	1	-184.20	-493.00	-24.00	
38	4	2	-337.40	-493.00	-24.00	
39	4	3	-490.60	-493.00	-24.00	
40	4	4	-643.80	-493.00	-24.00	
41	4	5	-797.00	-493.00	-24.00	
42	4	6	-950.20	-493.00	-24.00	
43	4	7	-1103.40	-493.00	-24.00	
44	4	8	-1256.60	-493.00	-24.00	
45	5	0	-31.00	-609.00	-24.00	
46	5	1	-184.20	-609.00	-24.00	
47	5	2	-337.40	-609.00	-24.00	
48	5	3	-490.60	-609.00	-24.00	
49	5	4	-643.80	-609.00	-24.00	
50	5	5	-797.00	-609.00	-24.00	
51	5	6	-950.20	-609.00	-24.00	
52	5	7	-1103.40	-609.00	-24.00	
53	5	8	-1256.60	-609.00	-24.00	
54	6	0	-31.00	-725.00	-24.00	
55	6	1	-184.20	-725.00	-24.00	
56	6	2	-337.40	-725.00	-24.00	
57	6	3	-490.60	-725.00	-24.00	
58	6	4	-643.80	-725.00	-24.00	
59	6	5	-797.00	-725.00	-24.00	
60	6	6	-950.20	-725.00	-24.00	
61	6	7	-1103.40	-725.00	-24.00	
62	6	8	-1256.60	-725.00	-24.00	
63	7	0	-31.00	-841.00	-24.00	
64	7	1	-184.20	-841.00	-24.00	
65	7	2	-337.40	-841.00	-24.00	
66	7	3	-490.60	-841.00	-24.00	
67	7	4	-643.80	-841.00	-24.00	
68	7	5	-797.00	-841.00	-24.00	
69	7	6	-950.20	-841.00	-24.00	
70	7	7	-1103.40	-841.00	-24.00	
71	7	8	-1256.60	-841.00	-24.00	
72	8	0	-31.00	-957.00	-24.00	
73	8	1	-184.20	-957.00	-24.00	
74	8	2	-337.40	-957.00	-24.00	
75	8	3	-490.60	-957.00	-24.00	
76	8	4	-643.80	-957.00	-24.00	
77	8	5	-797.00	-957.00	-24.00	
78	8	6	-950.20	-957.00	-24.00	
79	8	7	-1103.40	-957.00	-24.00	
80	8	8	-1256.60	-957.00	-24.00	
